movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
Sherlock Holmes: A Game of Shadows,535663443,186848418,348815025,53214895,125000000
Cinderella,534551353,201151353,333400000,8828576,95000000
Star Wars Ep. V: The Empire Strikes Back,534058751,290158751,243900000,19946205,23000000
WALL-E,532590994,223808164,308782830,195426790,180000000
World War Z,531514650,202359711,329154939,22002092,190000000
Godzilla,529072193,200672193,328400000,16656363,160000000
The Simpsons Movie,527071022,183135014,343936008,97517713,72500000
Ant-Man,518470613,180070613,338400000,,130000000
Meet the Fockers,516567575,279167575,237400000,,60000000
Terminator 2: Judgment Day,513815401,201858746,311956655,,100000000
Toy Story 2,511329494,245823397,265506097,,90000000
Ghost,506112351,206143657,299968694,,22000000
Sherlock Holmes,498438212,209028679,289409533,59084820,90000000
Twister,495700000,241688385,254011615,,88000000
Aladdin,495277270,208577270,286700000,,28000000
How to Train Your Dragon,494870991,217581231,277289760,140681517,165000000
Rio 2,493738435,131538435,362200000,27424852,130000000
Clash of the Titans,493214888,163214888,330000000,31253169,125000000
Shrek,491812794,267655011,224157783,,50000000
Angels & Demons,490875846,133375846,357500000,36264900,150000000
Oz the Great and Powerful,489570996,234770996,254800000,27577961,200000000
Rio,487519809,143619809,343900000,67328062,90000000
Mr. and Mrs. Smith,486124090,186336279,299787811,,110000000
Teenage Mutant Ninja Turtles,485004754,191204754,293800000,32874460,125000000
Saving Private Ryan,484819491,216119491,268700000,,65000000
Troy,484161265,133298577,350862688,,150000000
Bruce Almighty,483473962,242704995,240768967,,81000000
Rise of the Planet of the Apes,482860185,176760185,306100000,43503249,93000000
Charlie and the Chocolate Factory,475825484,206459076,269366408,,150000000
Wreck-It Ralph,473412677,189412677,284000000,61242847,165000000
Indiana Jones and the Last Crusade,472705225,195705225,277000000,23207690,48000000
Jaws,470700000,260000000,210700000,3082604,12000000
San Andreas,469590832,155190832,314400000,10758175,110000000
Home Alone,468427450,277504018,190923432,,15000000
Star Trek Into Darkness,466978661,228778661,238200000,26126498,190000000
The Hangover,465764086,277322503,188441583,199324779,35000000
The Matrix,463420706,171383253,292037453,,65000000
Cars,461651246,244082982,217568264,307340806,70000000
X-Men: The Last Stand,459359555,234362462,224997093,144801278,210000000
The Lego Movie,457729388,257784718,199944670,50179245,60000000
Gladiator,457683805,187683805,270000000,,103000000
Mission: Impossible,457607112,180891004,276716108,,80000000
National Treasure 2: Book of Secrets,457325804,219961501,237364303,102828608,00000
The Last Samurai,456810575,111110575,345700000,,140000000
00300,454139586,210592590,243546996,276415077,60000000
Beauty and the Beast,451421625,218951625,232470000,101378450,20000000
Ocean's Eleven,450728529,183417150,267311379,,85000000
Lucy,450573960,126573960,324000000,13220963,40000000
Thor,449326618,181030624,268295994,39879661,150000000
Pearl Harbor,449239855,198539855,250700000,,151500000
Tarzan,448191819,171091819,277100000,,145000000
The Hunger Games: Mockingjay - Part 2,446593802,204193802,242400000,,160000000
Alvin and the Chipmunks: The Squeakquel,443483213,219614612,223868601,75546547,70000000
Les Miserables,442169052,148809770,293359282,39399461,65000000
The Bourne Ultimatum,442161562,227471070,214690492,126890024,130000000
Men in Black 2,441767803,190418803,251349000,,140000000
Mrs. Doubtfire,440783653,218692701,222090952,,25000000
Terminator: Genisys,440160956,89760956,350400000,,155000000
Hotel Transylvania 2,437085725,167185725,269900000,,80000000
The Mummy Returns,435040395,202007640,233032755,,98000000
Terminator 3: Rise of the Machines,433058296,150358296,282700000,,170000000
Die Another Day,431932247,160932247,271000000,,142000000
The King’s Speech,430821168,138797449,292023719,40957850,15000000
Pretty Woman,429359276,175119672,254239604,,14000000
The Matrix Revolutions,427289109,139259759,288029350,,150000000
Cast Away,427230516,233632142,193598374,,85000000
Les Intouchables,426480871,13182281,413298590,4857110,00000
Django Unchained,425373688,162805434,262568254,32370800,100000000
The Chronicles of Narnia: The Voyage of the Dawn Treader,418186950,104386950,313800000,35359159,155000000
The Chronicles of Narnia: Prince Caspian,417341288,141621490,275719798,99163110,225000000
The Wolverine,416456852,132556852,283900000,36985540,115000000
The Mummy,416247825,155247825,261000000,,80000000
Dances with Wolves,415285106,175293948,239991158,,19000000
Sex and the City,415247258,152647258,262600000,95927680,57500000
Pacific Rim,411002906,101802906,309200000,21369930,190000000
Batman,409132777,248972777,160160000,,35000000
Signs,408265690,227965690,180300000,,70702619
Rain Man,408080878,168106313,239974565,,25000000
X2,407711549,214949694,192761855,,125000000
The Mummy: Tomb of the Dragon Emperor,405545959,102277510,303268449,45637984,175000000
Kingsman: The Secret Service,404561724,128261724,276300000,14092385,00000
The Exorcist,402735134,204868002,197867132,,12000000
Twilight,402280159,192769854,209510305,238026904,37000000
Night at the Museum: Battle of the Smithsonian,402231063,177243721,224987342,51544069,150000000
Snow White and the Huntsman,401016924,155136755,245880169,31489764,170000000
The Bodyguard,400588566,111634286,288954280,,25000000
Prometheus,399005706,126477084,272528622,18497877,125000000
Tron: Legacy,397562763,172062763,225500000,26990140,200000000
Mission: Impossible III,397501348,133501348,264000000,49918230,150000000
The Wolf of Wall Street,391976723,116900694,275076029,16951813,100000000
Gone with the Wind,390525192,198680470,191844722,,3900000
Robin Hood: Prince of Thieves,390366200,165360108,225006092,,50000000
Raiders of the Lost Ark,389925971,248159971,141766000,23139994,20000000
Grease,387513770,181813770,205700000,22741554,6000000
Ice Age,386116343,176387405,209728938,,65000000
Home,386085953,177397510,208688443,25639041,130000000
Star Trek,385680446,257730019,127950427,114928946,140000000
Back to the Future,385524862,212259762,173265100,5629751,19000000
Happy Feet,385000317,198000317,187000000,206546318,85000000
Monster Hunt,384884229,00000,384884229,,00000
Slumdog Millionaire,384519665,141319928,243199737,37992376,14000000
Live Free or Die Hard,382288147,134529403,247758744,101018239,110000000
Monsters vs. Aliens,381687380,198351526,183335854,91122335,175000000
Taken 2,377807404,139854287,237953117,44883007,45000000
Godzilla,375827709,136142003,239685706,,125000000
My Big Fat Greek Wedding,374890034,241438208,133451826,,5000000
X-Men Origins: Wolverine,374825760,179883157,194942603,85034583,150000000
What Women Want,374105123,182805123,191300000,,65000000
Superman Returns,374085065,200120000,173965065,85604491,232000000
The Adventures of Tintin,373993951,77591831,296402120,17776796,130000000
Mad Max: Fury Road,373136354,153636354,219500000,13511757,150000000
G.I. Joe: Retaliation,371923060,122523060,249400000,16546607,140000000
Shark Tale,371917043,161412000,210505043,,75000000
Captain America: The First Avenger,370569776,176654505,193915271,46564072,140000000
Gone Girl,368567189,167767189,200800000,15395276,61000000
Penguins of Madagascar,367650911,83350911,284300000,9205710,132000000
The Golden Compass,367262558,70107728,297154830,41885405,205000000
Hitch,366784257,177784257,189000000,,55000000
Die Hard: With a Vengeance,366072426,99983259,266089167,,90000000
Jurassic Park III,365900000,181166115,184733885,,93000000
Terminator Salvation,365491792,125322469,240169323,30157379,200000000
True Lies,365291539,146273950,219017589,,100000000
Edge of Tomorrow,364406256,100206256,264200000,9874508,178000000
Toy Story,364402211,191652928,172749283,,30000000
Notting Hill,363728226,116089678,247638548,,42000000
A Bug's Life,363089431,162792677,200296754,,45000000
Fast & Furious,363064265,155064265,208000000,66515081,85000000
Ocean's Twelve,362989076,125531634,237457442,,110000000
Alvin and the Chipmunks,362605033,217326974,145278059,138708106,55000000
Planet of the Apes,362211740,180011740,182200000,,100000000
The Hangover 3,362000072,112200072,249800000,13886231,103000000
The World is Not Enough,361730660,126930660,234800000,,135000000
There's Something About Mary,360099156,176483808,183615348,,22000000
Batman Begins,359142722,205343774,153798948,,150000000
Minority Report,358824714,132024714,226800000,,102000000
Top Gun,356800601,179800601,177000000,,15000000
Night at the Museum: Secret of the Tomb,356546621,113746621,242800000,14653696,127000000
American Beauty,356258047,130058047,226200000,,15000000
Dinosaur,356148063,137748063,218400000,,127500000
Goldeneye,355978900,105978900,250000000,4077930,60000000
Catch Me if You Can,355612291,164606800,191005491,,52000000
Home Alone 2: Lost in New York,355413379,170004045,185409334,,20000000
X-Men: First Class,355408305,146408305,209000000,34063100,160000000
The Flintstones,353357367,125388575,227968792,,45000000
Noah,352831065,101200044,251631021,11760839,130000000
The Karate Kid,351774938,176591618,175183320,56285448,40000000
Now You See Me,351723989,117723989,234000000,15315088,75000000
The Mask,351574149,119874149,231700000,,18000000
The Great Gatsby,351040419,144840419,206200000,28711081,190000000
Doctor Seuss' The Lorax,350976753,214030500,136946253,85824669,67500000
Basic Instinct,350853973,115881197,234972776,,00000
Hannibal,350100000,165091986,185008014,,87000000
Who Framed Roger Rabbit?,349318645,151931137,197387508,,70000000
Deep Impact,349300426,140300426,209000000,,80000000
Alvin and the Chipmunks: Chipwrecked,349088523,133107389,215981134,44083529,80000000
"I, Robot",348623912,144795350,203828562,,105000000
The Smurfs 2,348547523,71017784,277529739,20146812,110000000
Rush Hour 2,347425832,226164286,121261546,,90000000
Pocahontas,347087906,141567679,205520227,,55000000
Hotel Transylvania,345907363,148313048,197594315,55198380,85000000
The Maze Runner,345527862,102427862,243100000,20455763,34000000
How the Grinch Stole Christmas,345141403,260044825,85096578,,123000000
The Fugitive,342333917,172494360,169839557,,44000000
Wanted,342235034,134327125,207907909,74161820,75000000
Enchanted,340384141,127706877,212677264,89281522,85000000
Tomorrow Never Dies,339479326,125279326,214200000,,110000000
Close Encounters of the Third Kind,337700000,166000000,171700000,,20000000
Batman Forever,336495936,183997904,152498032,,100000000
Over the Hedge,336002981,155019340,180983641,130425424,80000000
The Rock,335955936,133955936,202000000,,75000000
Apollo 13,334065864,172036360,162029504,,65000000
22 Jump Street,331333876,191719337,139614539,14474312,50000000
National Treasure,331323410,173005002,158318408,,100000000
Black Swan,331266710,106954678,224312032,23985885,13000000
300: Rise of an Empire,330780051,106580051,224200000,16674466,110000000
Fantastic Four,330716569,154695569,176021000,18550828,87500000
The Curious Case of Benjamin Button,329809326,127509326,202300000,47712328,160000000
The Perfect Storm,328711434,182618434,146093000,,120000000
Indiana Jones and the Temple of Doom,328283524,175083524,153200000,23317323,28000000
Se7en,328058010,100058010,228000000,,30000000
Bolt,328015209,114053759,213961450,93399175,150000000
Taken 3,327656424,89256424,238400000,13138840,48000000
The Devil Wears Prada,326073155,124740460,201332695,95933800,35000000
The Hunchback of Notre Dame,325478752,100117603,225361149,,100000000
Back to the Future Part II,322666269,109116271,213549998,,40000000
Robin Hood,322241588,105269730,216971858,47491423,210000000
Megamind,321887208,148415853,173471355,50420074,130000000
Crocodile Dundee,321534511,168134511,153400000,,8800000
Schindler's List,320792986,95494598,225298388,,25000000
The Last Airbender,319542756,131601062,187941694,30338712,150000000
The Polar Express,319049659,194949659,124100000,,170000000
Journey 2: The Mysterious Island,318146162,103860290,214285872,22086915,79000000
The Conjuring,318000141,137400141,180600000,14114103,20000000
A Beautiful Mind,317668058,170708996,146959062,,78000000
Inglourious Basterds,316915264,120774594,196140670,68867087,70000000
Disney's A Christmas Carol,315709697,137855863,177853834,41533072,190000000
Air Force One,314932668,172620724,142311944,,85000000
Lethal Weapon 3,314768020,139799547,174968473,,35000000
The Proposal,314709717,163958031,150751686,107701780,40000000
Prince of Persia: Sands of Time,314594597,90759676,223834921,36487511,200000000
As Good as it Gets,313271386,147637474,165633912,,50000000
The Expendables 2,311979256,85028192,226951064,24193699,100000000
Fatal Attraction,311908296,148453989,163454307,,14000000
Ocean's Thirteen,311744465,117144465,194600000,48389923,85000000
The SpongeBob Movie: Sponge Out of Water,311594032,162994032,148600000,11512045,74000000
Beverly Hills Cop,311449244,229909722,81539522,,15000000
Little Fockers,310650574,148438600,162211974,20614562,100000000
Austin Powers: The Spy Who Shagged Me,310250345,205957794,104292551,,35000000
Maze Runner: The Scorch Trials,310203302,81203302,229000000,,61000000
Chicken Little,310043823,135386665,174657158,142664304,60000000
Runaway Bride,310030259,152149590,157880669,,70000000
Ransom,308656140,136448821,172207319,,70000000
Chicago,307687518,170687518,137000000,,30000000
The Pursuit of Happyness,307325633,162586036,144739597,93800774,55000000
Rise of the Guardians,306900902,103412758,203488144,40611912,145000000
The Blind Side,305705794,255959475,49746319,123148756,35000000
Wrath of the Titans,305270083,83670083,221600000,20256704,150000000
Battleship,305218228,65233400,239984828,18379218,209000000
Meet the Parents,304599899,166225040,138374859,,55000000
A Good Day to Die Hard,304249198,67349198,236900000,15159864,92000000
101 Dalmatians,304192867,136182161,168010706,,00000
The Fault in Our Stars,303572350,124872350,178700000,24517240,12000000
Mulan,303498149,120618403,182879746,,90000000
Liar Liar,302695380,181395380,121300000,,45000000
G.I. Joe: The Rise of Cobra,302469017,150201498,152267519,75499333,175000000
Rambo: First Blood Part II,300400000,150415432,149984568,,44000000
Superman,300200000,134218018,165981982,,55000000
Van Helsing,300150546,120150546,180000000,,170000000
Horton Hears a Who,299477886,154529439,144948447,83716647,85000000
Shutter Island,299461782,128012934,171448848,27087714,80000000
My Best Friend's Wedding,298915378,126805112,172110266,,46000000
Stuart Little,298815224,140015224,158800000,,105000000
Rocky IV,296447780,123947780,172500000,,00000
X-Men,296339717,157299717,139040000,,75000000
Resident Evil: Afterlife,295874190,60128566,235745624,22093657,57500000
Insurgent,295279072,130179072,165100000,11197650,110000000
Ghostbusters,295212467,242212467,53000000,,30000000
Sex and the City 2,294680778,95347692,199333086,32744573,95000000
Doctor Dolittle,294156464,144156464,150000000,,71500000
G-Force,292817841,119436770,173381071,57036750,150000000
Austin Powers in Goldmember,292738626,213117789,79620837,,63000000
Look Who's Talking,291848720,134837533,157011187,,00000
Hook,291121554,109921554,181200000,,70000000
The Green Mile,290701374,136801374,153900000,,60000000
Salt,290650494,118311368,172339126,34248145,130000000
The Departed,289660619,132384315,157276304,141096054,90000000
Bridesmaids,289527030,169106725,120420305,70433716,32500000
