movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
Vision Quest,12993175,12993175,00000,,00000
Le Divorce,12985489,9074550,3910939,,00000
Man's Best Friend,12974636,12974636,00000,,00000
Bandslam,12967829,5210988,7756841,,20000000
Clockers,12963125,12963125,00000,,00000
Lone Star,12952403,12952403,00000,,5000000
Real Genius,12952019,12952019,00000,,00000
Mao's Last Dancer,12949849,4806750,8143099,,18000000
April Fool's Day,12947763,12947763,00000,,5000000
Slither,12930343,7802450,5127893,7624242,15250000
They Call Me Bruce,12925437,12925437,00000,,00000
Gods and Generals,12923936,12882934,41002,,55000000
Hatari!,12923077,12923077,00000,,00000
Perfect,12918858,12918858,00000,,00000
Thirst,12918574,318574,12600000,,00000
Hysteria,12917238,3337194,9580044,,00000
Searching for Sugar Man,12913491,3965090,8948401,2107897,00000
Los abrazos rotos,12910363,5014305,7896058,,00000
Living Out Loud,12902790,12902790,00000,,12000000
Sgt. Pepper's Lonely Hearts Club Band,12900000,12900000,00000,,00000
Highlander,12900000,5900000,7000000,,16000000
A Far Off Place,12890752,12890752,00000,,00000
Evening,12885574,12406646,478928,,00000
Deception,12850033,4598506,8251527,2782440,25000000
The Grifters,12850000,12850000,00000,,00000
Hamburger Hill,12841759,12841759,00000,,00000
The Last Married Couple in America,12835544,12835544,00000,,00000
The Perfect Weapon,12833672,12833672,00000,,00000
Black Dog,12829351,12829351,00000,,00000
Agent Vinrod,12822885,698210,12124675,,00000
Unfinished Business,12819501,10219501,2600000,925388,35000000
Mary Reilly,12807914,5615008,7192906,,47000000
Crayo Shin-chan Arashi wo Yobu Ohgon no Spy Daisakusen,12801345,00000,12801345,,00000
Highlander: Endgame,12801190,12801190,00000,,15000000
The Nun's Story,12800000,12800000,00000,,3500000
Meet Me in St. Louis,12800000,12800000,00000,,00000
Urmel aus dem Eis,12799144,00000,12799144,,00000
Marvin's Room,12782508,12782508,00000,,23000000
Mr. Wrong,12781045,12781045,00000,,00000
The Associate,12772657,12772657,00000,,00000
L'élève Ducobu,12767508,00000,12767508,,00000
Aliens of the Deep,12765684,8968684,3797000,,00000
Gekijoban Mahou Shojo Madoka Magica Shinpen Hangyoku no Monogatari,12762731,190478,12572253,,00000
The Evening Star,12747242,12747242,00000,,00000
Weekend at Bernie's II,12741891,12741891,00000,,00000
Labyrinth,12729917,12729917,00000,,00000
The Sapphires,12721854,2450867,10270987,,00000
Come September,12710696,12710696,00000,,00000
D.O.A.,12706478,12706478,00000,,00000
Come Blow Your Horn,12705882,12705882,00000,,00000
"Move Over, Darling",12705882,12705882,00000,,00000
"Bon Cop, Bad Cop",12697976,12628571,69405,,8000000
The Omega Code,12678312,12610552,67760,,7200000
The Dressmaker,12665029,00000,12665029,,00000
Chasing Papi,12657377,6126237,6531140,,9000000
Last Night,12646519,112087,12534432,,00000
The Bedroom Window,12640385,12640385,00000,,00000
Everybody's All American,12638294,12638294,00000,,00000
Bad Influence,12626043,12626043,00000,,00000
Extreme Ops,12624471,4835968,7788503,,40000000
Frenzy,12600000,12600000,00000,,3500000
"They Shoot Horses, Don't They?",12600000,12600000,00000,,00000
Diner,12592907,12592907,00000,,5000000
The Spitfire Grill,12592203,12592203,00000,,00000
A Love,12592135,00000,12592135,,00000
Gossip,12591270,5108820,7482450,,14000000
Visiting Hours,12581713,12581713,00000,,00000
Bachelorette,12577401,446770,12130631,1577589,3000000
Idlewild,12571185,12571185,00000,8762876,15000000
Hellraiser III: Hell on Earth,12525537,12525537,00000,,00000
Sorority Boys,12516222,10198766,2317456,,12000000
Love Jones,12514138,12514138,00000,,10000000
Klute,12512637,12512637,00000,,00000
Breakin' All the Rules,12512317,12232382,279935,,9000000
Hak hap,12504289,12504289,00000,,00000
The Song of Bernadette,12500000,12500000,00000,,00000
War and Peace,12500000,12500000,00000,,6000000
Father Goose,12500000,12500000,00000,,00000
Mystic Pizza,12465564,12465564,00000,,6000000
Hot Tub Time Machine 2,12452601,12314651,137950,1099323,14000000
Material Girls,12449638,11449638,1000000,12190548,00000
Kai Po Che,12432815,1122527,11310288,,00000
People Like Us,12431792,12431792,00000,4641067,16000000
Boy s tenyu 2,12426015,00000,12426015,,00000
The Cold Light of Day,12425385,3763583,8661802,4564940,20000000
Knockaround Guys,12419700,11660180,759520,,15000000
Undercover Blues,12416686,12416686,00000,,00000
Why Do Fools Fall In Love?,12413650,12413650,00000,,00000
Nueve Reinas,12412889,1222889,11190000,,1500000
Monsignor,12408066,12408066,00000,,00000
The Bling Ring,12407491,5845732,6561759,898731,00000
Bella,12405473,8093373,4312100,5985106,3300000
Atrapa la bandera,12404980,00000,12404980,,00000
Undisputed,12398628,12398628,00000,,20000000
I'm Not There,12397613,4017609,8380004,6059232,20000000
Less than Zero,12396383,12396383,00000,,00000
Irreconcilable Differences,12384120,12384120,00000,,00000
Shaolin Girl,12380512,00000,12380512,,00000
The Andromeda Strain,12376563,12376563,00000,,6500000
Ready to Rumble,12372410,12372410,00000,,24000000
A Shot in the Dark,12368234,12368234,00000,,00000
Life With Mikey,12349549,12349549,00000,,00000
Soul Men,12345883,12082391,263492,11618723,40000000
The Interview,12342632,6105175,6237457,3614589,44000000
Gattaca,12339633,12339633,00000,,36000000
Millions,12337828,6584159,5753669,,00000
Street Fighter: The Legend of Chun-Li,12335036,9135036,3200000,5903599,50000000
The Ref,12325885,11325885,1000000,,00000
Eye for an Eye,12314832,00000,12314832,,00000
Gu Dao Jing Hun,12312603,00000,12312603,,00000
True Romance,12309980,12281000,28980,,12500000
Club Paradise,12308521,12308521,00000,,00000
No Mercy,12303904,12303904,00000,,00000
Enemy Mine,12303411,12303411,00000,,00000
Escape from the Planet of the Apes,12300000,12300000,00000,,2500000
Chasing Liberty,12291975,12189514,102461,,23000000
A Stranger Among Us,12282994,12282994,00000,,00000
Casual Sex?,12277096,12277096,00000,,00000
"Titeuf, Le Film",12268517,00000,12268517,,00000
My Life Without Me,12267275,432360,11834915,,2500000
Dark Blue,12262065,9237470,3024595,,15000000
Whiteout,12254746,10275638,1979108,3786391,35000000
Lejdis,12247829,00000,12247829,,00000
L&aring;t den rätte komma in,12247682,2122085,10125597,3950286,4500000
Lone Wolf McQuade,12232628,12232628,00000,,5000000
The Lunchbox,12231500,4231500,8000000,,1700000
Abandon,12219367,10719367,1500000,,25000000
I'll Be Home For Christmas,12213678,12213678,00000,,00000
Confidence,12212417,12212417,00000,,15000000
Back to the Beach,12208754,12208754,00000,,00000
True Confessions,12200000,12200000,00000,,00000
Office Space,12176816,10824921,1351895,,10000000
9 mois ferme,12170407,154485,12015922,,00000
Zoom,12148105,11631245,516860,12610569,35000000
Babies,12146819,7320323,4826496,3078272,00000
The Fourth Protocol,12144184,12144184,00000,,00000
Le Coeur des hommes 2,12130156,00000,12130156,,00000
The Vatican Tapes,12127591,1784763,10342828,30483,13000000
Little Big League,12124754,12124754,00000,,00000
Shaft,12121618,12121618,00000,,00000
Montajoo,12116647,00000,12116647,,00000
Dreamscape,12116365,12116365,00000,,00000
Judgment Night,12108480,12108480,00000,,00000
Hideaway,12102215,12102215,00000,,00000
Help!,12066667,12066667,00000,,00000
Holy Man,12065985,12065985,00000,,60000000
She's Out of Control,12065892,12065892,00000,,00000
The King and I,12064440,12064440,00000,,00000
Dave Chappelle's Block Party,12051924,11718595,333329,18800691,3000000
Fatal Beauty,12046526,12046526,00000,,00000
How to Lose Friends & Alienate People,12031443,2775593,9255850,,28000000
Harry Brown,12023606,1818681,10204925,,7300000
The Marrying Man,12003886,12003886,00000,,00000
Bandolero!,12000000,12000000,00000,,00000
Fantastic Voyage,12000000,12000000,00000,,00000
The Frisco Kid,12000000,12000000,00000,,00000
Divorce American Style,12000000,12000000,00000,,00000
Hombre,12000000,12000000,00000,,00000
The Big Fix,12000000,12000000,00000,,00000
First Monday in October,12000000,12000000,00000,,00000
Sorcerer,12000000,12000000,00000,,21600000
The Postman Always Rings Twice,12000000,12000000,00000,,00000
French Connection II,12000000,12000000,00000,,00000
The Other Side of the Mountain Part II,12000000,12000000,00000,,00000
The Changeling,12000000,12000000,00000,,00000
Harper,12000000,12000000,00000,,3500000
Tall Story,12000000,12000000,00000,,00000
Gentlemen Prefer Blondes,12000000,12000000,00000,,00000
Race with the Devil,12000000,12000000,00000,,00000
The Sea Chase,12000000,12000000,00000,,00000
Frankenstein,12000000,12000000,00000,,00000
Physical Evidence,12000000,12000000,00000,,00000
The Tall Men,12000000,12000000,00000,,00000
How to Murder Your Wife,12000000,12000000,00000,,00000
Cape No. 7,12000000,00000,12000000,,00000
De Dana Dan,11998249,944979,11053270,,00000
Warum Männer nicht zuhören und Frauen schlecht einparken,11996501,00000,11996501,,00000
"4 luni, 3 saptamani si 2 zile",11993156,1196321,10796835,,900000
The Pagemaster,11992698,11992698,00000,,00000
Sluzhebnyy roman. Nashye vryemya,11990788,00000,11990788,,00000
Rudo y Cursi,11987924,1827660,10160264,,00000
Nuovo cinema Paradiso,11985152,11985152,00000,,00000
Bye Bye Love,11959497,11959497,00000,,00000
Brighton Beach Memoirs,11957943,11957943,00000,,00000
Diana,11946983,335360,11611623,722417,00000
Roommates,11933937,11933937,00000,,00000
In Dreams,11927682,11927682,00000,,30000000
End of the Spear,11924041,11748661,175380,,10000000
Mulholland Drive,11919578,7219578,4700000,,15000000
Duong Gia Tuong,11906509,00000,11906509,,00000
Making Love,11897978,11897978,00000,,00000
Katyn,11882290,118095,11764195,,00000
The Way,11882191,4430650,7451541,6083499,00000
The Gate,11872510,11872510,00000,,00000
Win Win,11869063,10179275,1689788,,00000
Kal Ho Naa Ho,11862035,1956478,9905557,,00000
Action Replayy,11857228,410262,11446966,,00000
Narc,11843260,10465659,1377601,,7500000
Don't Move,11837603,103280,11734323,,00000
Firewalker,11834302,11834302,00000,,00000
Chloe,11831131,3075255,8755876,,13000000
Year of the Gun,11820000,11820000,00000,,00000
Getaway,11813989,10501938,1312051,22437,18000000
The Thirteenth Floor,11810854,11810854,00000,,16000000
Back Roads,11809387,11809387,00000,,00000
Bloodsport,11806119,11806119,00000,,1500000
Yankee Doodle Dandy,11800000,11800000,00000,,00000
The Rules of Attraction,11799060,6525762,5273298,,4000000
Zelig,11798616,11798616,00000,,00000
Caddyshack II,11798302,11798302,00000,,00000
This Must Be the Place,11792060,142242,11649818,,00000
Tales from the Hood,11784569,11784569,00000,,6000000
Saekjeuk shigong 2,11780198,00000,11780198,,00000
The Thrill of it All,11779093,11779093,00000,,00000
The Longshots,11778396,11511323,267073,10960318,23000000
Crayon Shinchan 15,11777171,00000,11777171,,00000
Shopgirl,11758418,10284523,1473895,10666674,7500000
Micmacs,11756922,1259693,10497229,,42000000
Gunfight at the O.K. Corral,11750000,11750000,00000,,00000
Hoop Dreams,11746701,7746701,4000000,,700000
3 Ninjas Kick Back,11744960,11744960,00000,,20000000
Layer Cake,11744669,2338695,9405974,,6500000
The Great Escape,11744471,11744471,00000,,4000000
Ca&#36;h,11738256,00000,11738256,,00000
Strictly Ballroom,11738000,11738000,00000,,00000
Quills,11732088,7060876,4671212,,13500000
Fading Gigolo,11723272,3747833,7975439,374904,00000
The Lords of Discipline,11721041,11721041,00000,,00000
Used Cars,11715321,11715321,00000,,00000
The Son's Room,11714416,1014416,10700000,,00000
Up the Creek,11708269,11708269,00000,,00000
Closer to Heaven,11701551,00000,11701551,,00000
Beauty and the Beast,11700000,00000,11700000,,00000
Rock-a-Doodle,11657385,11657385,00000,,00000
The Pyramid,11656333,2756333,8900000,,00000
Smart People,11655619,9511289,2144330,3627638,00000
Halloween 5: The Revenge of Michael Myers,11642254,11642254,00000,,6000000
What a Man,11639918,00000,11639918,,00000
Khatta Meetha,11635261,541904,11093357,,00000
The Adventures of Elmo in Grouchland,11634458,11634458,00000,,17000000
Dum Maaro Dum,11633427,564489,11068938,,00000
The Muse,11614954,11614954,00000,,15000000
The Last Kiss,11614790,11614790,00000,,00000
Taare Zameen Par,11613178,1223869,10389309,,00000
Hellraiser II: Hellbound,11611883,11611883,00000,,00000
Faubourg 36,11610575,850575,10760000,,00000
Lifeforce,11603545,11603545,00000,,25000000
Wara No Tate,11601232,00000,11601232,,00000
Finian's Rainbow,11600000,11600000,00000,,00000
Banlieue 13,11599903,1200216,10399687,,15000000
So I Married an Axe Murderer,11585483,11585483,00000,,00000
Graveyard Shift,11578883,11578883,00000,,00000
Wing Commander,11578022,11578022,00000,,30000000
Police Academy 6: City Under Siege,11567000,11567000,00000,,00000
Iron Sky,11565792,122082,11443710,,00000
The Order,11559747,7659747,3900000,,35000000
The Legend of Drunken Master,11546543,11546543,00000,,2000000
The Cookout,11540112,11540112,00000,,16000000
Tsotsi,11537539,2912606,8624933,,3000000
Young Einstein,11536599,11536599,00000,,00000
Bhoothnath,11532795,449776,11083019,,00000
Drop,11528993,00000,11528993,,00000
The Quiet  Ones,11509867,8509867,3000000,863260,00000
Alaska,11500372,11500372,00000,,00000
Galapagos,11500000,11500000,00000,,00000
The Sessions,11495204,6002451,5492753,,1000000
Something New,11483669,11468568,15101,5987196,00000
99 francs,11479477,79477,11400000,,00000
Turbulence,11466088,11466088,00000,,55000000
Teen Maar,11459148,00000,11459148,,00000
Elegy,11459039,3577210,7881829,,00000
The Beautician and the Beast,11454593,11454593,00000,,00000
Moon Over Parador,11444204,11444204,00000,,00000
Beyond Borders,11427090,4426297,7000793,,60000000
The Birds,11403529,11403529,00000,,00000
Sphinx,11400000,2000000,9400000,,10000000
Just One of the Guys,11377655,11377655,00000,,00000
Mulholland Falls,11375390,11375390,00000,,00000
Thumbelina,11373501,11373501,00000,,00000
Cops and Robbersons,11363618,11363618,00000,,00000
Hui Buh - Das Schlossgespenst,11361720,00000,11361720,,00000
Opportunity Knocks,11359129,11359129,00000,,00000
Reign of Assassins,11354230,00000,11354230,,00000
Snow Flower and the Secret Fan,11348205,1348205,10000000,,6000000
Gross Anatomy,11346186,11346186,00000,,00000
"Hexe Lilli, der Drache und das magische Buch",11338495,00000,11338495,,00000
The Man Who Knew Too Much,11333333,11333333,00000,,00000
Manhattan Murder Mystery,11330911,11330911,00000,,00000
Amityville II: The Possession,11328000,11328000,00000,,00000
Beyaz Melek,11323769,00000,11323769,,00000
Water,11322573,5529144,5793429,,3000000
American Me,11318100,11318100,00000,,00000
Double Team,11313010,11313010,00000,,00000
Extreme Prejudice,11307844,11307844,00000,,00000
Leave It To Beaver,11307615,11307615,00000,,00000
Spanish Movie,11305452,00000,11305452,,00000
Far from Home: The Adventures of Yellow Dog,11301050,11301050,00000,,00000
Who's the Man?,11299730,11299730,00000,,00000
Toshokan Senso,11294442,00000,11294442,,00000
Before Sunset,11293790,5792822,5500968,,2000000
La fille du puisatier,11284346,389651,10894695,,00000
Jennifer Eight,11281492,11281492,00000,,00000
Lars and the Real Girl,11277119,5956480,5320639,5832590,12500000
Frances Ha,11267511,4067398,7200113,,00000
Chill Factor,11263966,11263966,00000,,34000000
Son of Rambow: A Home Movie,11263263,1785505,9477758,,2000000
Shanghai,11258055,46425,11211630,,00000
Straw Dogs,11253821,10324441,929380,12998811,25000000
Balto,11249665,11249665,00000,,00000
Roving Mars,11248978,10407978,841000,,00000
Cyberworld 3D,11243857,11243857,00000,,00000
Hyde Park on Hudson,11242438,6376145,4866293,1607700,00000
La flûte à six schtroumpfs,11234220,11234220,00000,,00000
Stop-Loss,11229035,10915744,313291,5161124,25000000
Superman IV: The Quest for Peace,11227824,11227824,00000,,17000000
La Graine et le Mulet,11207864,203490,11004374,,00000
Q & A,11207000,11207000,00000,,00000
Assalto ao Banco Central,11200000,00000,11200000,,00000
The Squid and the Whale,11191423,7372734,3818689,,1500000
What a Way to Go!,11180531,11180531,00000,,00000
King Solomon's Mines,11172000,11172000,00000,,00000
The Cardinal,11170588,11170588,00000,,00000
Never Let Me Go,11158796,2419730,8739066,2771272,15000000
Les Gamins,11146589,00000,11146589,,00000
Deep Rising,11146409,11146409,00000,,45000000
Barney's Great Adventure,11144518,11144518,00000,,15000000
The Astronaut Farmer,11141213,11003643,137570,13903626,13000000
Tank,11131530,11131530,00000,,00000
V.I. Warshawski,11128309,11128309,00000,,00000
Pink Cadillac,11125820,11125820,00000,,00000
Whispers in the Dark,11124511,11124511,00000,,00000
Brokedown Palace,11115766,10115014,1000752,,25000000
Zhan Guo,11111761,68961,11042800,,00000
Please Don't Eat the Daisies,11100000,11100000,00000,,00000
2 Days In The Valley,11090856,11090856,00000,,00000
The Cooler,11083763,8243880,2839883,,4000000
Gypsy,11076923,11076923,00000,,00000
My Family,11075827,11075827,00000,,00000
The Unsinkable Molly Brown,11070559,11070559,00000,,00000
Tokyo Tower: Mom and Me and Sometimes Dad,11061179,00000,11061179,,00000
Family Business,11053835,11053835,00000,,00000
Krush Groove,11052713,11052713,00000,,3000000
Aashiqui 2,11046634,00000,11046634,,00000
Jonah Hex,11022696,10547117,475579,7866112,47000000
The Couch Trip,11005304,11005304,00000,,00000
The Last Flight of Noah’s Ark,11000000,11000000,00000,,00000
Wild Orchid,11000000,11000000,00000,,00000
Bite the Bullet,11000000,11000000,00000,,00000
It's My Turn,11000000,11000000,00000,,00000
Tom Sawyer,11000000,11000000,00000,,00000
American Hot Wax,11000000,11000000,00000,,00000
Cold Turkey,11000000,11000000,00000,,00000
Hangar 18,11000000,11000000,00000,,00000
The Lost Weekend,11000000,11000000,00000,,1250000
Wolfen,11000000,11000000,00000,,00000
The Golden Voyage of Sinbad,11000000,11000000,00000,,00000
Raggedy Man,11000000,11000000,00000,,00000
A Farewell To Arms,11000000,11000000,00000,,5000000
On the Beach,11000000,11000000,00000,,00000
A Hole in the Head,11000000,11000000,00000,,00000
In Like Flint,11000000,11000000,00000,,00000
Gator,11000000,11000000,00000,,00000
The Mirror Crack'd,11000000,11000000,00000,,00000
Show Boat,11000000,11000000,00000,,2300000
Solomon and Sheba,11000000,11000000,00000,,5000000
The Birth of a Nation,11000000,10000000,1000000,,110000
Pat Garrett and Billy the Kid,11000000,8000000,3000000,,4638783
Friends with Kids,10985652,7251073,3734579,3583230,00000
Who's Harry Crumb?,10982364,10982364,00000,,00000
The Man Who Loved Women,10964231,10964231,00000,,00000
Nuns on the Run,10959015,10959015,00000,,00000
Black Snake Moan,10951153,9396870,1554283,21941134,15000000
What the #$'! Do We Know,10941801,10941801,00000,,4000000
Le pacte des loups,10928863,10928863,00000,,00000
Senna,10924647,1612430,9312217,,00000
Cookie's Fortune,10919177,10919177,00000,,00000
Garfield's Pet Force,10918505,00000,10918505,,00000
Big Trouble in Little China,10911690,10911690,00000,,25000000
Fun Size ,10911519,9409538,1501981,,14000000
Kismat Konnection,10903927,479759,10424168,,00000
Flying Monsters 3D,10894223,5751141,5143082,,00000
"The Englishman Who Went Up a Hill, But Came Down a Mountain",10882631,10882631,00000,,00000
The Pink Panther,10878107,10878107,00000,,00000
The Man in the Gray Flannel Suit,10875000,10875000,00000,,00000
Narrow Margin,10873237,10873237,00000,,00000
Himmatwala,10871870,270880,10600990,,00000
Jannet 2,10858608,00000,10858608,,00000
Extract,10849158,10823158,26000,,7500000
Here on Earth,10845127,10494147,350980,,15000000
The Hole,10834406,00000,10834406,,7500000
Samyy luchshiy film 3,10832328,00000,10832328,,00000
You Can Count on Me,10827356,9180275,1647081,,1200000
Pump Up the Volume,10816769,10816769,00000,,00000
Moving,10815378,10815378,00000,,00000
Silver Bullet,10803211,10803211,00000,,7000000
Career Opportunities,10787500,10787500,00000,,00000
Away From Her,10787490,4548331,6239159,,00000
The Night Listener,10770993,7836393,2934600,8948938,4000000
We Need to Talk About Kevin,10765283,1738692,9026591,,7000000
New York Stories,10763469,10763469,00000,,15000000
Prom,10763183,10130219,632964,1632933,8000000
Missing in Action 2: The Beginning,10755447,10755447,00000,,00000
The Beastmaster,10751126,10751126,00000,,5000000
The African Queen,10750000,10750000,00000,,00000
Flower Drum Song,10738117,10738117,00000,,00000
Stay Tuned,10736401,10736401,00000,,00000
Not Easily Broken,10732909,10572742,160167,15169548,5000000
Gettysburg,10731997,10731997,00000,,25000000
Glengarry Glen Ross,10725228,10725228,00000,,12500000
The Drop,10724389,10724389,00000,1603973,00000
Universal Soldier II: The Return,10717421,10447421,270000,,40000000
For Love or Money,10709430,10709430,00000,,00000
Pure Country,10705365,10705365,00000,,00000
The Fiendish Plot of Dr. Fu Manchu,10697276,10697276,00000,,00000
RoboCop 3,10696210,10696210,00000,,22000000
Mad Dog and Glory,10688490,10688490,00000,,00000
Make It Happen,10688486,00000,10688486,,00000
"The Adventures of Priscilla, Queen of the Desert",10680877,10680877,00000,,00000
Moon,10676073,5010163,5665910,3072397,5000000
The Astronaut's Wife,10672566,10672566,00000,,34000000
The End of the Affair,10660147,10660147,00000,,23000000
Rab Ne Bana Di Jodi,10659346,2074346,8585000,,00000
Island of the Sharks,10658756,10658756,00000,,00000
The Package,10647219,10647219,00000,,00000
De père en flic,10644453,10644453,00000,,00000
Dirty Carnival,10638098,00000,10638098,,00000
The Purple Rose of Cairo,10631333,10631333,00000,,00000
The Boondock Saints 2: All Saints Day,10629320,10273187,356133,24280907,8000000
The Savages,10629267,6610326,4018941,,9000000
The Super,10627423,10627423,00000,,00000
Tengoku de kimi ni aetara,10625731,00000,10625731,,00000
Shattered,10621830,10621830,00000,,00000
The Virgin Suicides,10619770,4859475,5760295,,6000000
Return to Oz,10618813,10618813,00000,,27000000
Happy Birthday To Me,10609514,10609514,00000,,00000
After Hours,10609321,10609321,00000,,00000
Dracula: Dead and Loving It,10601599,10601599,00000,,00000
Play Misty for Me,10600000,10600000,00000,,00000
Kabadayi,10599297,00000,10599297,,00000
Falling in Love,10597500,10597500,00000,,00000
The Great Raid,10597070,10166502,430568,,60000000
Drop Dead Gorgeous,10571408,10571408,00000,,10000000
Three to Tango,10570375,10570375,00000,,20000000
Deconstructing Harry,10569071,10569071,00000,,20000000
Broadway Danny Rose,10566714,10566714,00000,,00000
Looking for Eric,10559972,55804,10504168,,00000
Pollock,10557291,8596914,1960377,,6000000
Compromising Positions,10556383,10556383,00000,,00000
Mad City,10556196,10556196,00000,,50000000
Husbands and Wives,10555619,10555619,00000,,00000
We're No Angels,10555348,10555348,00000,,20000000
Moving Violations,10551193,10551193,00000,,00000
Moms’ Night Out,10537341,10429707,107634,4984253,5000000
Les Tuche,10537035,00000,10537035,,00000
Crayon Shin-chan 16,10536987,00000,10536987,,00000
Where the Boys Are '84,10530000,10530000,00000,,00000
Love in Space,10519963,33976,10485987,,00000
American Ninja,10499000,10499000,00000,,00000
Two if by Sea,10493670,10493670,00000,,00000
Silent Rage,10490791,10490791,00000,,00000
The Accidental Husband,10484999,00000,10484999,,00000
Solace,10483236,00000,10483236,,00000
The Collector,10473836,7712114,2761722,2722939,00000
Teri Meri Kahaani,10471728,671442,9800286,,00000
Steamboy,10468867,468867,10000000,,20000000
Casablanca,10462500,10462500,00000,,1039000
Dangerous Liaisons,10447579,17000,10430579,,24200000
Home Fries,10443316,10443316,00000,,15000000
Blue Hawaii,10440453,10440453,00000,,00000
Operation Condor,10440032,10440032,00000,,00000
Beautiful Girls,10439854,10439854,00000,,00000
No Love in the City,10439457,00000,10439457,,00000
Camp Nowhere,10438786,10438786,00000,,00000
Interiors,10432366,10432366,00000,,00000
LOL,10431506,00000,10431506,4261692,11000000
First Daughter,10419084,9055010,1364074,,30000000
Sex Drive,10412485,8402485,2010000,10921159,19000000
Habemus Papam,10404075,486902,9917173,,00000
Moby Dick,10400000,10400000,00000,,4500000
The High and the Mighty,10400000,10400000,00000,,00000
Elmer Gantry,10400000,10400000,00000,,3000000
Head Over Heels,10397365,10397365,00000,,14000000
The Man,10393696,8330720,2062976,,20000000
Stardust Memories,10389003,10389003,00000,,00000
Jeonseolui Joomeok,10388780,134213,10254567,,00000
The Perfect Score,10387706,10387706,00000,,00000
Ma-dang-eul Na-on Am-talk,10387515,00000,10387515,,00000
Doctor Detroit,10375893,10375893,00000,,00000
One Good Cop,10370221,10370221,00000,,00000
Deal of the Century,10369581,10369581,00000,,00000
Thief of Hearts,10364904,10364904,00000,,00000
Town & Country,10364769,6712451,3652318,,105000000
The Scarlet Letter,10359006,10359006,00000,,50000000
Satyagraha,10329878,738525,9591353,,00000
Revenge of the Ninja,10325628,10325628,00000,,00000
I Got the Hook-Up!,10305534,10305534,00000,,3500000
The Newton Boys,10297897,10297897,00000,,27000000
Better Off Dead...,10297601,10297601,00000,,00000
All is Lost,10292010,6263670,4028340,3215804,8500000
Lubov Morkov,10291446,00000,10291446,,00000
Facing the Giants,10243159,10178331,64828,39682778,100000
White Squall,10229300,10229300,00000,,38000000
In the Mix,10223896,10223896,00000,,00000
Babes in Toyland,10218316,10218316,00000,,00000
Rollover,10217873,10217873,00000,,00000
Snabba Cash,10212403,188870,10023533,,4300000
I'll Do Anything,10209111,10209111,00000,,00000
Saved!,10206551,8886160,1320391,,5000000
The Brothers McMullen,10202068,10202068,00000,,50000
Woman on Top,10192613,5018450,5174163,,8000000
Flowers in the Shadow,10188284,00000,10188284,,00000
You So Crazy,10184701,10184701,00000,,00000
Next Day Air,10172519,10027047,145472,10422491,3000000
Look Who's Talking Now,10172124,10172124,00000,,00000
Henry V,10161099,10161099,00000,,9000000
Sexy Beast,10158355,6946056,3212299,,4300000
Punisher: War Zone,10157534,8050977,2106557,11870365,35000000
The Ice Harvest,10156968,9016782,1140186,7886257,00000
Bats,10155691,10155691,00000,,6500000
Lovesick,10143618,10143618,00000,,10100000
The Secret of Nimh,10140325,10140325,00000,,00000
ABCD (Any Body Can Dance),10137234,222098,9915136,,1900000
Father of the Bride,10135000,10135000,00000,,00000
Sunset Park,10128314,10128314,00000,,00000
Thunder and the House of Magic,10124184,04091,10120093,38902,34000000
Conviction,10118985,6783129,3335856,6249759,12500000
L'Allenatore Ne Pallone 2,10116005,00000,10116005,,00000
Away We Go,10108016,9451946,656070,5249525,21000000
Bernie,10106975,9204489,902486,2127680,6000000
The Wash,10097096,10097096,00000,,4000000
With Six You Get Eggroll,10095200,10095200,00000,,00000
Air Bud: Golden Receiver,10093523,10093523,00000,,00000
Under the Cherry Moon,10090429,10090429,00000,,00000
Lost in America,10079206,10079206,00000,,00000
Knock Off,10076136,10076136,00000,,35000000
Duplex,10070651,9652000,418651,,40000000
Shakedown,10068039,10068039,00000,,00000
Taking Woodstock,10066366,7460204,2606162,,29000000
Yokame no semi,10064960,00000,10064960,,00000
Boiling Point,10058318,10058318,00000,,00000
A Day Without a Mexican,10058001,4180870,5877131,,00000
Cyrus,10055042,7461082,2593960,,7000000
Open City,10051886,00000,10051886,,00000
Wüstenblume,10042267,00000,10042267,,00000
Mrs. Winterbourne,10039566,10039566,00000,,25000000
Godzilla 2000,10037390,10037390,00000,,1000000
Milyang,10031302,00000,10031302,,00000
Cyborg,10030875,10030875,00000,,00000
For Greater Glory,10026255,5669081,4357174,2147298,12000000
Le Violon rouge,10019109,10019109,00000,,10000000
Lucky Numbers,10014234,10014234,00000,,65000000
The Unbearable Lightness of Being,10006000,10006000,00000,,00000
The Two Jakes,10005969,10005969,00000,,00000
Buddy,10005081,10005081,00000,,00000
A Little Princess,10004169,10004169,00000,,00000
"Zorro, The Gay Blade",10000000,10000000,00000,,00000
The Singing Fool,10000000,10000000,00000,,00000
Up the Academy,10000000,10000000,00000,,00000
Journey to the Center of the Earth,10000000,10000000,00000,,00000
The Snake Pit,10000000,10000000,00000,,00000
Hud,10000000,10000000,00000,,2500000
King Kong,10000000,10000000,00000,,672000
The Big Doll House,10000000,10000000,00000,,00000
Atlantic City,10000000,10000000,00000,,00000
Iron Eagle II,10000000,10000000,00000,,00000
The Last Detail,10000000,10000000,00000,,00000
The Ambushers,10000000,10000000,00000,,00000
